Event;Result;UTCDate;UTCTime;WhiteElo;BlackElo;ECO;Opening;TimeControl;Termination;Moves
Rated Blitz game;1/2-1/2;2013.01.02;10:07:39;1776;1200;B00;Owen Defense;300+3;Draw;e4 b6 Nf3 Bb7 e5 e6 d4 d6 Be2 dxe5 dxe5 Qxd1+ Bxd1 Nd7 O-O g6 Bf4 Bh6 Bg3 f6 c3 O-O-O exf6 Ngxf6 a4 Ne4 a5 Nxg3 fxg3 Rhf8 axb6 axb6 Na3 Nc5 Be2 Ne4 Nb5 Be3+ Kh1 Nf2+ Rxf2 Bxf2 Ne5 Rd5 Na7+ Kb8 Nec6+ Bxc6 Nxc6+ Kb7 Nb4 Rd2 Bf3+ c6 Nxc6 Kc7 Ra7+ Kd6 b4 Rxf3 gxf3 Kxc6 Rxh7 Rc2 Rh8 Kb5 Rc8 Be1 Re8 Bxc3 Rxe6 Bxb4 Rxg6 Bc5 f4 Rc1+ Kg2 Rc2+ Kh3 Bg1 Kg4 Bxh2 f5 Rg2 Kh3 Rxg3+ Rxg3 Bxg3 Kxg3 Kc6 Kf4 Kd7 Ke5 b5 Kd5 b4 Kc4 b3 Kxb3 Ke7
Rated Classical game;1-0;2013.01.02;10:07:47;1662;1652;A40;Queen's Pawn;480+5;Checkmate;d4 c6 h3 d5 Nf3 Bf5 c3 Nd7 a3 Qc7 Nbd2 e5 dxe5 Nxe5 Nxe5 Qxe5 e3 O-O-O Nf3 Qc7 Bd3 Be4 Bxe4 dxe4 Nd4 c5 Qg4+ Kb8 Nb5 Qc6 Qg5 f6 Qg3+ Ka8 a4 a6 Na3 g5 O-O Bd6 Qg4 h5 Qe6 Re8 Qf7 Re7 Qc4 h4 Qe2 f5 Nc4 Bc7 b4 cxb4 cxb4 Kb8 b5 axb5 axb5 Qc5 Ba3 Qd5 Bxe7 Nxe7 Qa2 Qxb5 Qa8#
Rated Classical game;0-1;2013.01.02;10:08:37;1620;2057;A00;Hungarian Opening;300+8;Checkmate;g3 d5 Bg2 e5 e4 Nf6 f3 Bc5 Ne2 dxe4 fxe4 Bg4 Nbc3 Nc6 Na4 Be7 d3 Nd4 Bf1 Nf3+ Kf2 b5 Nac3 Bc5+ Kg2 Nd4 h3 Bf3+ Kh2 Bxh1 Nxd4 Qxd4 Nxb5 Qg1#
Rated Blitz game;1-0;2013.01.02;10:07:51;1845;1758;C62;Ruy Lopez: Steinitz Defense;420+0;Resignation;e4 Nc6 Nf3 e5 Bb5 d6 Bxc6+ bxc6 d4 exd4 Nxd4 c5 Nf5 Nf6 O-O g6 Ng3 Bg7 Bg5 Bg4 Bxf6 Bxd1 Bxd8 Rxd8 Rxd1 Bxb2 Nd2 Bxa1 Rxa1 O-O f3 d5 e5 f5 f4 c4 Nf3 c5 Ng5 Rfe8 Rd1 h6 Nf3 Kg7 c3 Rd7 Nf1 Kf7 Ne3 Red8 Kf2 d4 Nxc4 dxc3 Nd6+ Ke6 Rc1 Rxd6 exd6 Rxd6 Rxc3 Rc6 Ne5 Rc8 Nxg6 Kd5 Ne5 Ke4 Rc4+ Kd5 Ra4 Rc7 g3 c4 Nf3 c3 Rd4+ Ke6 Rd1 c2 Rc1 Kd5 Ne1 Ke4 Rxc2 Rxc2+ Nxc2 Kd3
Rated Classical game;0-1;2013.01.02;10:07:29;1312;?;C40;Elephant Gambit;900+0;Checkmate;e4 e5 Nf3 d5 d4 exd4 Qxd4 Nc6 Bb5 Bd7 Bxc6 Bxc6 Nc3 Ne7 e5 Qd7 Bf4 Nf5 Qd2 d4 Ne2 Bxf3 gxf3 O-O-O O-O-O h6 Qa5 a6 Ng3 g5 e6 fxe6 Be5 Bg7 Nxf5 exf5 Rxd4 Qf7 Bxg7 Qxg7 Rc4 f4 Re1 Rd6 Ree4 Rhd8 Re1 Qd7 b3 b5 Rc3 c5 Rxc5+ Kb7 Qb4 Rd4 c4 Rd1+ Kc2 Qd3+ Kb2 Qb1+ Ka3 Qc1#
Rated Classical game;0-1;2013.01.02;10:04:08;1678;1390;C20;King's Pawn Game: Wayward Queen Attack;600+8;Resignation;e4 e5 Qh5 d6 Bc4 g6 Qf3 Nf6 d3 Bg7 Nc3 a6 Bg5 O-O Nd5 Nbd7 Ne2 c6 Nxf6+ Bxf6 Bxf6 Nxf6 O-O Bg4 Qe3 Bxe2 Qxe2 d5 Bb3 dxe4 dxe4 Qd4 c3 Qxe4 Qxe4 Nxe4 Rad1 Rad8 f3 Nd2 Rf2 Nxb3 axb3 Rxd1+ Rf1 Rxf1+ Kxf1 Rd8 b4 Rd2 b3 Rd1+ Ke2 Rb1 Kd3 Rxb3 Kc4 Rb1 Kc5 Rc1 c4 Kf8 g4 Ke7 h4 Kf6 g5+ Kf5 Kb6 Rxc4 Kxb7 Rxb4+ Kxc6 Rf4 Kb6 Rxf3 Kxa6 e4 Kb6 e3 Kc6 e2 Kd6 e1=Q Kd7 Qe6+
Rated Blitz game;0-1;2013.01.02;10:09:46;1556;1649;C50;Giuoco Piano;300+0;Checkmate;e4 e5 Nf3 Nc6 Bc4 Bc5 O-O Nf6 h3 O-O Nc3 d6 a3 Nd4 Nxd4 Bxd4 Nd5 Nxd5 Bxd5 c6 Ba2 Qg5 Qf3 Qg6 c3 Bb6 d3 Kh8 Be3 f5 exf5 Rxf5 Qe4 Rf6 Qxg6 Rxg6 Bxb6 axb6 f4 Bxh3 f5 Rxg2+ Kh1 Rxb2 f6 Bxf1 f7 Bxd3 Rd1 Rxa2 Rxd3 Rf8 Rxd6 Rxa3 Rd7 g6 Re7 Kg7 Rxb7 Rxc3 Rxb6 Rxf7 Rb1 Rc2 Re1 e4 Rxe4 Rf1#
Rated Blitz game;0-1;2013.01.02;10:09:55;1182;1566;A00;Van't Kruijs Opening;180+4;Checkmate;e3 e5 Nc3 d5 d4 exd4 exd4 Bb4 Bd2 Nf6 Bb5+ c6 Ba4 b5 Bb3 O-O a4 bxa4 Rxa4 Bxc3 Bxc3 Ne4 f3 Qh4+ g3 Nxg3 hxg3 Qxh1 Bb4 Re8+ Kd2 Qg2+ Kc1 Qxg3 c4 dxc4 Bxc4 Qf4+ Qd2 Qxd2+ Kxd2 Bd7 d5 cxd5 Ra5 dxc4 Kc3 Nc6 Rd5 Nxb4 Rxd7 Nc6 Kxc4 Ne5+ Kd5 Nxd7 Ne2 Rad8 Kc6 Rxe2 Kb7 Rxb2+ Kxa7 Rdb8 f4 Rb8b3 Ka6 Ra3#
Rated Classical game;1-0;2013.01.02;10:10:00;1808;1576;C30;King's Gambit;300+8;Time forfeit;e4 e5 f4 d6 Nf3 Bg4 fxe5 dxe5 Bc4 Nf6 Bxf7+ Kxf7 Nxe5+ Ke8 Nxg4 Nxg4 Qxg4 Nd7 d4 Nf6 Qe6+ Be7 c3 h6 e5 Qd7 Qb3 b6 Nd2 Qg4 O-O g5 Qd1 Qe6 exf6
Rated Bullet game;0-1;2013.01.02;10:10:06;2119;2025;D02;Queen's Pawn Game: Zukertort Variation;60+1;Resignation;d4 d5 Nf3 c6 e3 Bg4 b3 Bxf3 Qxf3 Nd7 Bb2 Qc7 c4 e6 Nd2 Ngf6 Rc1 Qa5 a3 Qd8 Bd3 Be7 O-O O-O e4 dxe4 Nxe4 Nxe4 Qxe4 Nf6 Qe2 g6 Rcd1 Nh5 f4 Bf6 Be4 Qc7 g3 Rad8 Bf3 Ng7 Kg2 Qb6 d5 Bxb2 Qxb2 cxd5 cxd5 exd5 Bxd5 Nf5 Kh3 Ne3 Qd2 Nxf1 Rxf1 Qc5 Rd1 Qxa3 Qc2 Qd6 Bxf7+ Rxf7 Rxd6 Rxd6 Qc8+ Kg7 Qc3+ Kg8 b4 Rfd7 Qc5 Kg7 Qc3+ Rd4 f5 gxf5 b5 Kf7 Qb3+ Rd4d5 Qf3 Rxb5 Qh5+ Kg7 Qg5+ Kf7 Qh5+ Kf6 Qh6+ Ke5 Qf4+ Kd5 Qxf5+ Kc6 Qe6+ Kc7 Qe8 Rbd5 Qa8 a6 Qa7 Rd5d6 Kg4 Rc6 h4 Rd5 Kh3 Rc3 Qa8 Rdd3 Kg4 Rxg3+ Kf5 Rcf3+ Ke4 Re3+ Kf4 Rgf3+ Kg5 Re5+ Kh6 Rf6+ Kxh7 Re7+ Kg8 Rff7 Qa7 Rg7+ Kf8 Ref7+ Ke8 Rh7 Qc5+ Kb8 Qd6+ Ka8 Qh2 Rfg7 Kf8 Rd7 Kg8 Rhe7 Kf8 Rf7+ Ke8 Rde7+ Kd8 Rh7 h5 Reg7 Qe5 Rh8+ Qe8 Rxe8+ Kxe8 Rh7 Kf8 Rxh5
Rated Classical game;1-0;2013.01.02;10:10:23;1500;1355;C41;Philidor Defense #2;480+8;Checkmate;e4 e5 Nf3 d6 Nc3 c5 Bb5+ Bd7 Bxd7+ Qxd7 d3 Nc6 O-O Nd4 Nxd4 cxd4 Nd5 O-O-O Re1 Kb8 c3 Nf6 Nxf6 gxf6 cxd4 exd4 Bf4 Rg8 g3 Qh3 Rc1 h5 Rc5 h4 Qf3 hxg3 fxg3 Rh8 Qg2 Ka8 Qxh3 Rxh3 Rc4 Be7 Rec1 Rdh8 Rc8+ Rxc8 Rxc8#
Rated Classical game;0-1;2013.01.02;10:11:05;1429;1433;B00;Nimzowitsch Defense;480+0;Time forfeit;e4 Nc6 Nc3 Nf6 Nf3 d6 Bb5 a6 Bxc6+ bxc6 O-O Bg4 h3 Bd7 d4 g6 Bg5 Bg7 Bxf6 Bxf6 Qd2 O-O b4 Rb8 Rab1 e6 a4 Qe7 Ne2 d5 e5 Bh4 Nxh4 Qxh4 Qd3 f6 exf6 Qxf6 Qxa6 Qg5 c4 e5 cxd5 Bxh3 Ng3 cxd5 Qe6+ Bxe6 dxe5 Qxe5 a5 d4 a6 Bc4 a7 Ra8 Rfe1 Qd6 Ra1 d3 Ne4 Qd4 Nd2 Qxf2+ Kh1 Qxd2 Rg1 Qxb4 Kh2 Rfd8
Rated Blitz game;0-1;2013.01.02;10:11:53;1455;1607;C33;King's Gambit Accepted, Polerio Gambit;300+0;Time forfeit;e4 e5 f4 exf4 d4 Be7 Bxf4 Bh4+ g3 Bg5 Qd2 Bxf4 Qxf4 Nc6 Ne2 Qe7 Nbc3 Nf6 Qxc7 O-O O-O-O Nxe4 d5 Nd8 Nxe4 Qxe4 Bh3 f5 Nc3 Qe3+ Kb1 a5 Rhe1 Qa7 Qd6 Nf7 Qe7 Nh6 g4 d6 gxf5 Bxf5 Bxf5 Nxf5 Qe6+ Kh8 Rf1 g6 Nb5 Qb6 Nxd6 Qxd6 Qxd6 Nxd6 Rfe1 Rad8 c4 b6 b3 Kg7 Re7+ Rf7 Ree1 Rdd7 h4 Rf4 h5 g5 Re6 Nc8 Rg1 h6 Rg6+ Kh7 Re1 Rdf7 Kc2 Rh4 Re8 Ne7 d6 Nxg6 hxg6+ Kxg6 Re6+ Kg7 Kc3 Rd7 Re7+ Rxe7 dxe7 Kf7 e8=Q+ Kxe8 a3 Rf4 b4 axb4+ axb4 Kd7 c5 bxc5 bxc5 Kc6
Rated Blitz game;1-0;2013.01.02;10:07:58;1663;1178;A40;Horwitz Defense;180+3;Time forfeit;d4 e6 c4 Qh4 Nf3 Qe4 e3 Nf6 Bd3 Qg4 O-O d5 h3 Qh5 cxd5 Nxd5 Be2 Qg6 a3 Bd6 Bd2 h6 Nc3 e5 dxe5 Be7 Nxd5 Bd8 Bb4 Bxh3 g3 Nc6 Bd3 Qh5 Nh4 Bg4 Qb3 Nxe5 Nf4 Qg5 Rac1 c6 Bd6 Nf3+ Kg2 Nd2 Qxb7 Rc8 Rfe1 Bf3+ Nxf3 Qg4 Be2 Ne4 Rxc6 Rxc6 Qxc6+ Qd7 Qxe4+ Be7 Bxe7 Qxe7 Bb5+ Kd8 Qa8+ Kc7 Qxh8 Kd6 Rd1+ Kc5 Nd4 Qb7+ Kg1 Kb6 Qd8+
Rated Blitz game;1-0;2013.01.02;10:10:09;1684;1692;B00;Caro-Kann Defense: Hillbilly Attack;420+1;Resignation;e4 c6 Bc4 d5 exd5 cxd5 Bb3 Nf6 d3 e6 Nc3 Bb4 Ne2 O-O O-O Nc6 h3 Re8 a3 Ba5 Ba4 a6 Bxc6 bxc6 b4 Bc7 Na4 Qd6 f4 a5 Bb2 axb4 axb4 Qxb4 Bc3 Qb5 Bxf6 gxf6 Nac3 Qb7 Rxa8 Qxa8 Ng3 Bb6+ Kh1 Be3 Nh5 Kf8 Nxf6 Rd8 Nxh7+ Ke7 Qh5 Rh8 Qg5+ Kd7 Nf6+ Kd8 Nfxd5+ f6 Qxf6+ Ke8 Nc7+
Rated Classical game;0-1;2013.01.02;10:12:33;1502;1602;C24;Bishop's Opening: Berlin Defense;420+3;Resignation;e4 e5 Bc4 Nf6 d3 d5 exd5 Nxd5 Bxd5 Qxd5 Nf3 Bg4 h3 Bh5 Nc3 Qc6 g4 Bg6 Rg1 Qe6 Qe2 Nc6 h4 h5 gxh5 Bxh5 Qe4 Bb4 Ng5 Bxc3+ bxc3 Qf6 f4 O-O-O fxe5 Qxe5 Bf4 Qxc3+ Kf2 Qxc2+ Kg3 Qxd3+ Qxd3 Rxd3+ Kh2 f6 Ne6 Bf7 Nxg7 Rxh4+ Kg2 Rg4+ Kh1 Rxf4 Rg2 Bd5 Nh5 Bxg2+ Kxg2
Rated Bullet game;0-1;2013.01.02;10:12:39;1710;2055;A41;Queen's Pawn Game: Anglo-Slav Opening;60+0;Resignation;d4 d6 c4 c6 Nc3 g6 Nf3 Bg7 e4 Nf6 Be2 O-O O-O Nbd7 Bg5 e5 d5 cxd5 cxd5 h6 Be3 Ng4 Qd2 Nxe3 Qxe3 a6 Rac1 f5 a3 Nc5 exf5 gxf5 h3 Nb3 Rc2 Nd4 Rd2 Nxe2+ Nxe2 Qf6 Nh2 Bd7 Rc1 f4 Qf3 Rac8 Nc3 Bf5 Ne4 Qg6 Ng4 Bxe4 Qe2 Rxc1+
Rated Blitz game;1-0;2013.01.02;10:13:31;1851;1642;C00;French Defense: Knight Variation;300+1;Resignation;e4 e6 Nf3 d5 exd5 exd5 d4 Nf6 Bd3 Nc6 O-O Be6 c3 Be7 Bb5 O-O Bxc6 bxc6 Bf4 h6 h3 Bd6 Ne5 Bxe5 Bxe5 Ne4 Nd2 f5 Nf3 Rc8 Qa4 Rb8 b3 c5 dxc5 Nxc5 Qxa7 Nd3 Bxc7 Ra8 Qb6 Qd7 Nd4 Rfe8 Rfd1 Nb2 Rd2 Na4 bxa4 Rxa4 Re1 Bf7 Rxe8+ Qxe8 Re2 Qc8 Qb8 Qxb8 Bxb8 Rc4 Re3 Ra4 Re2 Rc4 Rc2 Bg6 Be5 Ra4 Kf1 Kh7 Ke2 f4 Rb2 Rc4 Kd2 Be4 f3 Bg6 Bxf4 Be8 Rb4 Rc6 Nxc6 Bxc6 a4
Rated Classical game;1-0;2013.01.02;10:13:34;1990;1828;D15;Slav Defense: Three Knights Variation;900+0;Resignation;d4 d5 c4 c6 Nc3 Nf6 Nf3 Bf5 Bf4 dxc4 e3 b5 a4 b4 Na2 Qa5 Bxc4 b3+ Nc3 Bc2 Qd2 Ne4 Nxe4 Qxd2+ Nexd2 e6 Bxb3
Rated Bullet game;1-0;2013.01.02;10:14:44;1518;1707;A00;Van't Kruijs Opening;60+0;Time forfeit;e3 c5 Bc4 Nc6 Qf3 e6 a3 d5 Ba2 Nf6 c4 Be7 cxd5 exd5 Nc3 Be6 b4 d4 exd4 cxd4 Nce2 O-O d3 Bd5 Bxd5 Qxd5 Qxd5 Nxd5 Bb2 Bf6 Rc1 Rac8 Nf3 h6 O-O a6 h3 Ne5 Nxe5 Bxe5 Rxc8 Rxc8 Bxd4 Bxd4 Nxd4 Rc3 Rd1 Rxa3 Nf5 Rb3 d4 Rxb4 Re1 b5 Ne7+ Nxe7 Rxe7 Rxd4 Ra7 Ra4 Rb7 g6 f4 Kg7 Kh2 Kf6 g3 h5 Kg2 Ke6 g4 Ra2+ Kg3 hxg4 hxg4 Ra3+ Kh4 Ra2 Rb6+ Ke7 Rb7+ Kf8 f5 gxf5 gxf5 Ra4+ Kg5 b4 Rb8+ Ke7 Rb7+ Ke8 f6 Ra3 Re7+
Rated Classical game;0-1;2013.01.02;10:15:41;1505;1569;A00;Hungarian Opening: Sicilian Invitation;300+5;Checkmate;g3 c5 Bg2 Nc6 Na3 d6 c4 Nf6 d3 e6 Nc2 Be7 a3 O-O b4 cxb4 axb4 d5 b5 Nb8 Ba3 Bxa3 Nxa3 dxc4 dxc4 Qxd1+ Rxd1 Nbd7 Nf3 Rb8 Nd4 b6 Nc6 Bb7 Nxb8 Bxg2 Nxd7 Bxh1 Nxf8 Kxf8 f3 Bg2 Kf2 Bh3 g4 h5 gxh5 Nxh5 e3 e5 Rd8+ Ke7 Ra8 Nf6 Rxa7+ Nd7 Kg3 Be6 f4 exf4+ exf4 f5 h4 g6 h5 gxh5 Kh4 Bf7 Kg5 Ke6 Rc7 Kd6 Rc6+ Ke7 Kxf5 h4 Rc7 h3 c5 bxc5 b6 h2 b7 h1=Q b8=Q Be6+ Kg5 Qg2+ Kh6 Qh3+ Kg7 Qg4+ Kh6 Qxf4+ Kh5 Bf7#
Rated Bullet game;1-0;2013.01.02;10:15:55;1682;1833;C50;Italian Game: Schilling-Kostic Gambit;60+2;Resignation;e4 e5 Nf3 Nc6 Bc4 Nd4 O-O Nxf3+ Qxf3 Qf6 Qb3 Nh6 Nc3 Bc5 Nd5 Qc6 d3 Ng4 h3 Nxf2 Rxf2 Bxf2+ Kxf2 O-O Ne7+ Kh8 Nxc6
Rated Bullet game;0-1;2013.01.02;10:16:01;2039;2058;B06;Modern Defense: Two Knights Variation, Suttles Variation;60+0;Resignation;e4 d6 Nf3 c6 Nc3 g6 d4 Bg7 Be3 Nf6 Qd2 Ng4 Bg5 h6 Bf4 Nd7 h3 Ngf6 O-O-O Nh5 Be3 b5 Bd3 b4 Ne2 Rb8 g4 Nhf6 Ng3 Qa5 Kb1 Nb6 Bf4 Na4 e5 Nd5 exd6 Nac3+ bxc3 bxc3+
Rated Classical game;1-0;2013.01.02;10:16:13;1335;1160;B01;Scandinavian Defense: Mieses-Kotroc Variation;840+0;Checkmate;e4 d5 exd5 Qxd5 Nc3 Qe6+ Be2 Qc6 Nf3 Bg4 O-O Bh5 Nd4 Qd7 Ncb5 Bg6 d3 c6 Nxa7 Rxa7 Be3 f6 Nf3 Bf7 Bxa7 Na6 d4 Nb4 c3 Nxa2 Qa4 Qe6 Bb6 Qxe2 Qa8+ Kd7 Qxf8 Bc4 Qd8+ Ke6 Rfe1 Nh6 Rxe2+ Kf7 Qxh8 Ng8 Re3 Kg6 Qxg8 Bxg8 Nh4+ Kh5 Nf5 g6 Ng3+ Kg4 Re4+ Kg5 d5 cxd5 Be3#
Rated Blitz game;1-0;2013.01.02;10:16:36;1854;1575;C44;Scotch Game: Relfsson Gambit;420+0;Resignation;e4 e5 Nf3 Nc6 d4 exd4 Bb5 a6 Bc4 b5 Bd5 Nf6 O-O Nxd5 exd5 Ne7 Qxd4 Bb7 Bg5 h6 Bh4 c6 d6 Nf5 Qe4+ Ne7 dxe7 Bxe7 Re1 g5 Nxg5 hxg5 Bxg5 f6 Bxf6 Rh7 Qxh7
Rated Blitz game;1-0;2013.01.02;10:17:26;1634;1534;A40;Horwitz Defense;300+2;Resignation;d4 e6 a3 c5 dxc5 Bxc5 b4 Bd4 Qxd4 Nc6 Qxg7
Rated Blitz game;1-0;2013.01.02;10:16:51;1548;1658;C50;Giuoco Piano;300+0;Checkmate;e4 e5 Nf3 Nc6 Bc4 Bc5 O-O Nf6 d3 d6 Bg5 O-O Nc3 h6 Bh4 Na5 Nd5 Nxc4 dxc4 g5 Nxg5 Nxd5 cxd5 hxg5 Qh5 f6 Qg6+ Kh8 Bg3 Qe7 Kh1 Qg7 Qh5+ Qh7 Qe2 a5 a3 Kg7 c3 Rh8 b4 axb4 cxb4 Bd4 Rac1 c5 Qb5 Qxe4 bxc5 Bxc5 Rxc5 dxc5 Qxc5 Qf5 Qe7+ Kg6 h4 gxh4 Bh2 h3 g4 Qxg4 Rg1 Qxg1+ Kxg1 Kf5 Qc7 Rg8+ Kf1 b6 Qc2+ Kg5 Qd2+ Kg6 f4 exf4 Qxf4 Ba6+ Kf2 Kf7 Qc7+ Kf8 Bd6+ Ke8 Qe7#
Rated Classical game;1-0;2013.01.02;10:17:39;1363;1265;C44;Ponziani Opening: Jaenisch Counterattack;900+8;Checkmate;e4 e5 Nf3 Nc6 c3 Nf6 d3 g6 Bg5 Bg7 Bxf6 Qxf6 d4 d6 d5 Na5 b4 b6 bxa5 bxa5 Bd3 Rb8 O-O Bg4 Nbd2 Rb2 h3 Bxf3 Nxf3 g5 Qc1 Rb6 Rb1 Rxb1 Bxb1 h5 Nxg5 Bh6 h4 Rg8 f4 exf4 Rxf4 Qe5 Nxf7 Bxf4 Nxe5 dxe5 Qf1 Be3+ Kh1 Rf8 Qe2 Bc5 Qxh5+ Rf7 Qxe5+ Re7 Qf5 a4 e5 a3 e6 a5 Qg6+ Kd8 h5 Kc8 h6 Kb7 h7 Kb6 h8=Q Kb5 Bd3+ Kb6 Qb8#
Rated Bullet game;0-1;2013.01.02;10:17:50;1697;1689;B30;Sicilian Defense: Nyezhmetdinov-Rossolimo Attack;120+0;Time forfeit;e4 c5 Nf3 Nc6 Bb5 a6 Bxc6 bxc6 d4 cxd4 Nxd4 e5 Nf5 d6 Ng3 Nf6 Nc3 Be7 Be3 O-O O-O Bg4 f3 Be6 f4 exf4 Bxf4 Rb8 b3 Bg4 Qd2 Nh5 Be3 Nxg3 hxg3 f5 Rf4 Bg5 Rf2 Bxe3 Qxe3 fxe4 Nxe4 Rxf2 Nxf2 Bh5 Rf1 d5 Qe6+ Kh8 Nh3 Qb6+ Kh1 h6 Nf4 Be8 Qe7 Qb7 Qf8+ Kh7 Ne6 Bh5 Qf5+ Bg6 Qg4 Re8 Nf8+ Rxf8 Rxf8 Qe7 Qc8 Qe1+ Kh2 Be4 Rh8+ Kg6 Qe6+ Kg5 Qe5+ Bf5 Rg8 g6
Rated Blitz game;1-0;2013.01.02;10:17:46;1416;1533;B07;Pirc Defense #4;300+0;Resignation;e4 d6 Qf3 e6 Bc4 Nc6 c3 a6 d4 Qe7 d5 Ne5 Qe2 Nxc4 Qxc4 exd5 Qe2 dxe4 Nh3 Bxh3 gxh3 d5 Na3 h6 Be3 Qf6 O-O-O Bxa3 bxa3 Qxc3+ Qc2 Qxa3+ Kb1 Qb4+ Ka1 b5 Rxd5 Ne7 Rd4 Qa5 Rxe4 c6 Qxc6+ Kf8 Qxa8+ Nc8 Qxc8+
Rated Blitz game;1-0;2013.01.02;10:17:54;2180;2054;B12;Caro-Kann Defense: Advance Variation;180+1;Resignation;e4 c6 d4 d5 e5 e6 Nf3 Ne7 c3 Nd7 Bd3 c5 O-O Nc6 Be3 Qb6 b3 f6 exf6 Nxf6 Re1 Bd6 dxc5 Bxc5 Nbd2 O-O h3 e5 Bxc5 Qxc5 Nxe5 Nxe5 Rxe5 Qxc3 Re3 Qc5 Rc1 Qd6 Nf3 Bd7 Bb1 Rae8 Rxe8 Rxe8 Nd4 Ne4 f3 Nf6 Qd3 Qg3 Qd2 Bxh3 Qf2 Qxf2+ Kxf2 Bc8 Rc7 Nd7 Nf5
Rated Blitz game;1-0;2013.01.02;10:17:52;1367;1508;C02;French Defense: Advance Variation #3;180+0;Resignation;e4 e6 d4 d5 e5 Nc6 Bb5 a6 Bxc6+ bxc6 Nf3 c5 Be3 cxd4 Bxd4 g6 Nc3 Bg7 O-O f6 Qe2 fxe5 Nxe5 Qd6 f4 Nf6 Nd3 O-O Bc5 Qd8 Bxf8 Qxf8 a3 c5 Nf2 d4 Nce4 Nxe4 Qxe4 Rb8 b3 a5 Qc6 e5 fxe5 Bxe5 Ng4 Qe7 Nh6+ Kh8 Rf7 Qd6 Qxd6 Bxd6 Raf1 Be6 Rf7f6 Re8 Nf7+ Kg7 Nxd6 Rd8 Ne4 Bf5 Rf6xf5 gxf5 Rxf5 Re8 Nxc5 Re2 Rf2 Re1+ Rf1 Re5 Nd3 Rd5 b4 axb4 Nxb4 Rc5 h3 Ra5 Ra1 Rb5 Kh2 Rb8 h4 Rf8 Kg3 Kg6 Rd1 Rd8 Nc6 Rc8 Nxd4 Rc4 Nb3 Rc3+ Kh2 Rxc2 Rd6+ Kg7 h5 Kg8 h6 Rb2 Nd4 Ra2 Ra6 Rd2 Nf5 Rd5 Nd6 Rh5+ Kg1 Rxh6 Ra8+ Kg7 Nf5+ Kg6 Nxh6 Kxh6
Rated Classical game;0-1;2013.01.02;10:17:55;1349;1616;C22;Center Game: Normal Variation;480+8;Checkmate;e4 e5 d4 exd4 Qxd4 Nc6 e5 Nxd4 f3 Qe7 Nh3 Qxe5+ Kd1 d6 f4 Qd5 b3 Nxb3+ Bd2 Nxa1 Ng5 Nf6 Nc3 Qd4 Nf3 Qb6 Na4 Qb1+ Ke2 Nxc2 Nc3 Qb6 Kd1 Nd4 Bb5+ Nxb5 Nxb5 Qxb5 Nd4 Qb1+ Ke2 Qxh1 Nf5 Qxg2+ Kd1 Qh1+ Kc2 Qxh2 Ne3 Qxf4 Nd5 Qc4+ Bc3 Qxa2+ Kd3 Qxd5+ Bd4 c5 Ke3 Qxd4+ Ke2 Bg4+ Ke1 O-O-O Kf1 Re8 Kg2 Re2+ Kh1 Qd1#
Rated Blitz game;1-0;2013.01.02;10:18:03;1239;1524;A43;Franco-Benoni Defense;60+10;Resignation;e4 e6 d4 c5 d5 Nf6 e5 Ne4 f3 Ng5 Nc3 exd5 Nxd5 Nc6 Bf4 Nd4 Qd2 d6 Bxg5 f6 exf6 gxf6 Bxf6
Rated Blitz game;1-0;2013.01.02;10:18:10;1452;1500;C23;Bishop's Opening;180+0;Checkmate;e4 e5 Bc4 Nc6 Qf3 Nf6 c3 d6 h3 Be7 d3 O-O Be3 Bd7 Nd2 Qc8 Ne2 Re8 O-O Be6 b3 Na5 b4 Nxc4 dxc4 Qd7 b5 a6 a4 axb5 axb5 h6 Ng3 Bxh3 gxh3 Qxh3 Qg2 Qh4 Nf5 Qh5 Ng3 Qg6 Nf5 Qh7 f3 Nh5 Kf2 Nf4 Bxf4 exf4 Qg4 Bg5 Rg1 Re6 Rxa8+ Bd8 Rxd8+ Re8 Rxe8#
Rated Bullet game;1-0;2013.01.02;10:19:36;1557;1653;C02;French Defense: Advance Variation, Nimzowitsch System;60+2;Time forfeit;e4 d5 e5 e6 d4 c5 Nf3 Qb6 Be3 Qxb2 Nbd2 Nc6 Bd3 cxd4 Rb1 Qc3 Rb3 Qc5 Rb5 Qc3 Rb3 Qa5 Nxd4 Bb4 Nxc6 bxc6 O-O Ne7 Nf3 Ng6 Ng5 Be7 Bd2 Qc7 Qf3 O-O Qh3 h6 Nf3 Nxe5 Nxe5 Qxe5 Qg4 c5 Bxh6 Kh8 Bf4 Qf6 Qh3+
Rated Classical game;0-1;2013.01.02;10:20:03;1373;1402;C00;French Defense: Knight Variation;480+8;Resignation;e4 e6 Nf3 a6 Be2 d5 exd5 exd5 O-O Nf6 Re1 Be7 d3 O-O Bg5 Nh5 Bxe7 Qxe7 Nfd2 Qf6 Bxh5 Qxb2 Nb3 b5 Nb1d2 Be6 Bg4 Nd7 Bf5 Bxf5 a4 Nf6 Rb1 Qc3
